Date, Close, Open, High, Low, ZigZag Value, ZigZag Length, ZigZag Pips, ZigZag Deg, Volumes
2015.06.10 07:20, 1.12728, 1.12766, 1.12775, 1.12601, 1.12601, 39.00000, -126, 72.83, 461.00000
2015.06.10 21:50, 1.12869, 1.12907, 1.12918, 1.12835, 1.12835, 174.00000, 23, 7.66, 206.00000
2015.06.11 02:20, 1.13089, 1.12978, 1.13313, 1.12976, 1.13313, 54.00000, 48, 41.51, 929.00000
2015.06.12 04:50, 1.11612, 1.11794, 1.11807, 1.11511, 1.11511, 318.00000, -180, 29.54, 1102.00000
2015.06.12 11:10, 1.12852, 1.12685, 1.12965, 1.12675, 1.12965, 76.00000, 145, 62.40, 872.00000
2015.06.15 01:55, 1.11920, 1.11939, 1.11942, 1.11891, 1.11891, 177.00000, -107, 31.25, 215.00000
2015.06.15 15:05, 1.12908, 1.12915, 1.12945, 1.12897, 1.12945, 158.00000, 105, 33.71, 127.00000
2015.06.16 02:10, 1.12660, 1.12713, 1.12715, 1.12590, 1.12590, 133.00000, -36, 14.94, 320.00000
2015.06.16 03:10, 1.13167, 1.13252, 1.13298, 1.13155, 1.13298, 12.00000, 71, 80.38, 343.00000
2015.06.16 08:30, 1.12225, 1.12151, 1.12328, 1.12050, 1.12050, 64.00000, -125, 62.85, 750.00000
2015.06.17 04:10, 1.12888, 1.12742, 1.12919, 1.12732, 1.12919, 236.00000, 87, 20.21, 379.00000
2015.06.17 14:00, 1.12873, 1.12399, 1.12997, 1.12064, 1.12064, 118.00000, -85, 35.93, 2957.00000
2015.06.18 12:20, 1.14344, 1.13965, 1.14362, 1.13941, 1.14362, 268.00000, 230, 40.61, 650.00000
2015.06.19 06:20, 1.12977, 1.13083, 1.13091, 1.12919, 1.12919, 216.00000, -144, 33.75, 324.00000
2015.06.22 02:00, 1.13933, 1.14018, 1.14034, 1.13932, 1.14034, 236.00000, 112, 25.29, 222.00000
2015.06.22 04:30, 1.13240, 1.13222, 1.13242, 1.13117, 1.13117, 30.00000, -92, 71.88, 382.00000
2015.06.22 11:25, 1.13942, 1.14038, 1.14101, 1.13929, 1.14101, 83.00000, 98, 49.85, 404.00000
2015.06.23 09:20, 1.11403, 1.11490, 1.11495, 1.11351, 1.11351, 263.00000, -275, 46.28, 418.00000
2015.06.24 04:35, 1.12275, 1.12277, 1.12352, 1.12272, 1.12352, 231.00000, 100, 23.43, 283.00000
2015.06.24 10:35, 1.11753, 1.11769, 1.11778, 1.11687, 1.11687, 72.00000, -67, 42.73, 250.00000
2015.06.25 00:05, 1.12153, 1.12177, 1.12200, 1.12153, 1.12200, 162.00000, 51, 17.57, 101.00000
2015.06.25 02:45, 1.11895, 1.11898, 1.11928, 1.11823, 1.11823, 32.00000, -38, 49.68, 297.00000
2015.06.25 03:10, 1.12161, 1.12145, 1.12275, 1.12133, 1.12275, 5.00000, 45, 83.69, 384.00000
2015.06.25 05:30, 1.11631, 1.11572, 1.11638, 1.11536, 1.11536, 28.00000, -74, 69.25, 246.00000
2015.06.25 22:15, 1.11821, 1.11817, 1.11827, 1.11790, 1.11790, 201.00000, 25, 7.20, 112.00000
2015.06.25 22:35, 1.11850, 1.11797, 1.11852, 1.11790, 1.11790, 4.00000, 0, 0.00, 159.00000
2015.06.26 04:20, 1.12123, 1.12153, 1.12197, 1.12123, 1.12197, 69.00000, 41, 30.53, 185.00000
2015.06.28 18:00, 1.09553, 1.09879, 1.09882, 1.09530, 1.09530, 164.00000, -267, 58.41, 556.00000
2015.06.29 13:35, 1.12496, 1.12563, 1.12785, 1.12480, 1.12785, 235.00000, 326, 54.17, 1060.00000
2015.06.30 05:00, 1.11478, 1.11417, 1.11563, 1.11343, 1.11343, 185.00000, -144, 37.93, 575.00000
2015.06.30 09:10, 1.12282, 1.12275, 1.12440, 1.12275, 1.12440, 50.00000, 110, 65.50, 533.00000
2015.07.01 04:15, 1.11010, 1.11087, 1.11087, 1.10953, 1.10953, 229.00000, -149, 33.00, 347.00000
2015.07.01 05:10, 1.11519, 1.11447, 1.11722, 1.11434, 1.11722, 11.00000, 77, 81.86, 716.00000
2015.07.01 19:55, 1.10367, 1.10369, 1.10380, 1.10323, 1.10323, 177.00000, -140, 38.32, 168.00000
2015.07.02 08:35, 1.10928, 1.11154, 1.11212, 1.10923, 1.11212, 152.00000, 89, 30.32, 860.00000
2015.07.03 05:50, 1.11150, 1.11141, 1.11178, 1.11134, 1.11178, 255.00000, -3, 0.76, 155.00000
2015.07.03 16:55, 1.11128, 1.11065, 1.11155, 1.11060, 1.11155, 133.00000, -2, 0.99, 202.00000
2015.07.05 17:30, 1.09712, 1.09751, 1.09752, 1.09690, 1.09690, 7.00000, -147, 87.26, 216.00000
2015.07.06 04:00, 1.10859, 1.10814, 1.10953, 1.10799, 1.10953, 126.00000, 126, 45.07, 417.00000
2015.07.07 08:50, 1.09207, 1.09214, 1.09245, 1.09163, 1.09163, 346.00000, -179, 27.35, 233.00000
2015.07.09 02:05, 1.11149, 1.11019, 1.11246, 1.11019, 1.11246, 495.00000, 208, 22.82, 752.00000
2015.07.09 13:45, 1.09928, 1.09959, 1.09973, 1.09914, 1.09914, 140.00000, -133, 43.57, 140.00000
2015.07.10 07:05, 1.12065, 1.12069, 1.12158, 1.12034, 1.12158, 208.00000, 224, 47.17, 382.00000
2015.07.12 17:00, 1.10978, 1.10940, 1.11009, 1.10934, 1.10934, 119.00000, -122, 45.81, 131.00000
2015.07.13 02:55, 1.11863, 1.11739, 1.11971, 1.11723, 1.11971, 119.00000, 104, 41.07, 699.00000
2015.07.13 20:45, 1.09807, 1.09781, 1.09816, 1.09737, 1.09737, 214.00000, -223, 46.23, 258.00000
